+-----------+----------+-------------+-------+
| Timestamp | Quadrant |   Colour    | Type  |
+-----------+----------+-------------+-------+
| 00:00:03  |    3     | dark_yellow | entry |
| 00:00:05  |    2     |    white    | entry |
| 00:00:10  |    4     |  dark_blue  | entry |
| 00:00:14  |    1     |   orange    | entry |
| 00:00:15  |    2     |    white    | exit  |
| 00:00:18  |    4     |  dark_blue  | exit  |
| 00:00:20  |    1     |   orange    | exit  |
| 00:00:25  |    4     |    white    | entry |
| 00:00:27  |    2     |   orange    | entry |
| 00:00:29  |    3     | dark_yellow | exit  |
| 00:00:34  |    3     |  dark_blue  | entry |
| 00:00:38  |    1     | dark_yellow | entry |
| 00:00:41  |    2     |   orange    | exit  |
| 00:00:43  |    1     | dark_yellow | exit  |
| 00:00:46  |    3     |  dark_blue  | exit  |
| 00:00:50  |    3     | dark_yellow | entry |
| 00:00:53  |    1     |   orange    | entry |
| 00:00:54  |    4     |    white    | exit  |
| 00:00:55  |    4     |  dark_blue  | entry |
| 00:01:00  |    2     |    white    | entry |
| 00:01:03  |    1     |   orange    | exit  |
| 00:01:04  |    4     |  dark_blue  | exit  |
| 00:01:04  |    2     |    white    | exit  |
| 00:01:06  |    3     | dark_yellow | exit  |
| 00:01:11  |    1     | dark_yellow | entry |
| 00:01:14  |    3     |    white    | entry |
| 00:01:16  |    2     |  dark_blue  | entry |
| 00:01:19  |    4     |   orange    | entry |
| 00:01:24  |    1     | dark_yellow | exit  |
| 00:01:24  |    2     |  dark_blue  | exit  |
| 00:01:25  |    4     |   orange    | exit  |
| 00:01:26  |    3     |    white    | exit  |
| 00:01:30  |    1     |   orange    | entry |
| 00:01:34  |    2     |    white    | entry |
| 00:01:39  |    4     |  dark_blue  | entry |
| 00:01:41  |    3     | dark_yellow | entry |
+-----------+----------+-------------+-------+
